词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
2013 toyota tacoma v6 rack en piñón,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE13700,1.0,1.0,1.0,177.99,0.45,待补ABA搜索量/排名,B0DPCXKHXJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
tacoma 2010 hydraulic steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,177.99,0.48,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 nissan sentra steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,4.0,1.0,1.0,177.99,0.75,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2009 lexus es350 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,1.0,1.0,1.0,177.99,0.76,待补ABA搜索量/排名,B0GQZFFJLK,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 town and country chrysler mini van power steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,3.0,1.0,176.99,1.3,待补ABA搜索量/排名,B0F671L76Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 chrysler town and country rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE10100-重点,2.0,1.0,1.0,176.99,0.71,待补ABA搜索量/排名,B0H6W8QSG9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota 2010 camry hydraulic steering wheel,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,2.0,1.0,175.99,0.8,待补ABA搜索量/排名,B0DPCWN73Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota 4runner 2008 steering gear pinion,机会词（有出单未覆盖）,搜索词报告,SP--Mix-转向器-王云-KC4SGE03700-重点,4.0,1.0,1.0,175.99,0.55,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
44250-04030,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,175.99,0.48,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop rack and pinion 2008 toyota camry,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器广泛-王云-KC4SGE01800-重点,3.0,1.0,1.0,175.99,0.76,待补ABA搜索量/排名,B0GQZFFJLK,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 kia forte rack and pinion detroit axle,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE15400,8.0,1.0,1.0,175.99,0.4,待补ABA搜索量/排名,B0GR45XNHQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 toyota tacoma 2wd raken pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE13700-重点,5.0,1.0,1.0,175.99,0.45,待补ABA搜索量/排名,B0GR4LNWTM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 toyota camry power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器26新品-王云-OO4SGE37500,3.0,1.0,1.0,175.99,0.45,待补ABA搜索量/排名,B0GSCZ2K1B,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 toyota highlander rack and pinion kac,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,2.0,1.0,1.0,174.99,1.42,待补ABA搜索量/排名,B0DPCWYHXB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic power steering rack and pinion assembly compatible with lexus rx330 year 2004,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4PSP17700-重点,2.0,1.0,1.0,174.99,0.97,待补ABA搜索量/排名,B0DPCWYHXB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
mustang ii power rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,4.0,1.0,1.0,174.99,0.48,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 mitsubishi outlander all-wheel drive rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4SGE01700-重点,2.0,1.0,1.0,174.99,0.63,待补ABA搜索量/排名,B0DPWVY87S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1996 honda accord rack and pinion with tie rods,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-BD-KX4SGE15200-B0DWMSG3ML,3.0,1.0,1.0,174.99,1.04,待补ABA搜索量/排名,B0DWMSG3ML,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda accord 1997 power steering rack & pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-BD-KX4SGE15200-B0DWMSG3ML,1.0,1.0,1.0,174.99,0.92,待补ABA搜索量/排名,B0DWMSG3ML,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 highlander basic fwd 2.4 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP17700,17.0,1.0,1.0,174.99,0.78,待补ABA搜索量/排名,B0GQZ8BTP9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1997 honda accord lx rack pinions,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,173.99,0.45,待补ABA搜索量/排名,B0DPCWYNV6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack for toyota prius 2014,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,2.0,1.0,173.99,0.9,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1995 honda accord ex 2.2 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,4.0,1.0,1.0,173.99,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering corolla 2006,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE08500,6.0,1.0,1.0,173.99,0.6,待补ABA搜索量/排名,B0FQP7C3MN,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rakenpiñon for 2005 toyota corolla,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE08500,2.0,1.0,1.0,173.99,0.45,待补ABA搜索量/排名,B0FQP7C3MN,词组,新建对应ASIN关键词投放，7天复核,待运营确认
bmw z3 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,8.0,1.0,1.0,173.99,0.83,待补ABA搜索量/排名,B0H6XGB3TG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack pinion rav4 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE03400,1.0,1.0,1.0,173.7,0.72,待补ABA搜索量/排名,B0DPCWQQCS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion toyota sequoia 2004,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16000-B0CN15P14D,1.0,1.0,1.0,173.68,1.02,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack n pinion toyota rav4 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4SGE03400-重点,3.0,1.0,1.0,173.1,0.78,待补ABA搜索量/排名,B0DQZTVFTQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE26800；SP-KW-Mix-转向器-王云-PT4SGE26800-重点,19.0,4.0,1.0,172.99,2.29,待补ABA搜索量/排名,B0DWMTG6H3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
piñon rav 4 year 2003,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4SGE03400-重点,2.0,1.0,1.0,172.99,0.46,待补ABA搜索量/排名,B0F9P8R4SX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack buick century 2001,机会词（有出单未覆盖）,搜索词报告,SP-kw-Mix-转向器-王云-PT4SGE25600-重点,3.0,1.0,1.0,172.99,0.64,待补ABA搜索量/排名,B0GR39QZSK,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion kia forte 2.0l,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,5.0,3.0,1.0,171.99,1.38,待补ABA搜索量/排名,B0DSF696TB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
b0dmz5p95y,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,170.99,0.27,待补ABA搜索量/排名,B0DPCXMDMM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 honda accord steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,4.0,1.0,1.0,170.99,0.48,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 honda civic power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,7.0,1.0,1.0,170.99,0.3,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 chevy impala power steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,30.0,5.0,1.0,169.99,2.08,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for a 2000 buick century,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE25600,2.0,1.0,1.0,169.99,0.78,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 tacoma 4x4 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,2.0,1.0,1.0,169.99,1.09,待补ABA搜索量/排名,B0GGRPCTLZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
96 4 runner steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,3.0,1.0,1.0,169.99,0.94,待补ABA搜索量/排名,B0GGRPCTLZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1997 4wd tacoma steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRPCTLZ-年份车型-BS,1.0,1.0,1.0,169.99,0.93,待补ABA搜索量/排名,B0GGRVNLHG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 gto parts,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE23100-重点,2.0,1.0,1.0,169.99,0.45,待补ABA搜索量/排名,B0H6WFS239,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2007 jeep patriot 2.4 l engine four-wheel-drive,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE09100-重点,1.0,1.0,1.0,169.99,0.8,待补ABA搜索量/排名,B0H6WGBZ8Q,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2003 toyota tundra steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16000-B0CN15P14D,2.0,1.0,1.0,168.99,1.07,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion bushing for 2000 toyota tundra 4.7 l,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16000-B0CN15P14D,2.0,1.0,1.0,168.99,1.07,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion 2007 buick lucerne cxl,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,9.0,1.0,1.0,168.99,0.4,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2006 buick lucerne 3.6 l engine,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE27900-重点,3.0,1.0,1.0,168.99,0.6,待补ABA搜索量/排名,B0F66YZG6G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack for toyota rav4 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE03400,4.0,2.0,1.0,167.99,1.68,待补ABA搜索量/排名,B0CPLZXQ14,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 jetta 2.0 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,11.0,2.0,1.0,167.08,1.5,待补ABA搜索量/排名,B0DWMSHL7S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
racan piño acura tsx 2004,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,4.0,1.0,1.0,166.99,0.4,待补ABA搜索量/排名,B0D2D19CXW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1999 lexus rx300 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-BD-KX4SGE16500-B0DPCX66CY,3.0,2.0,1.0,166.99,1.22,待补ABA搜索量/排名,B0DPCX66CY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2000 rx 300 lexus,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-BD-KX4SGE16500-B0DPCX66CY,1.0,1.0,1.0,166.99,0.59,待补ABA搜索量/排名,B0DPCX66CY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 lexus rx300 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE16500,3.0,1.0,1.0,166.99,0.45,待补ABA搜索量/排名,B0DPZS1LTK,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2003 vw beetle rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE10600,1.0,1.0,1.0,166.99,0.5,待补ABA搜索量/排名,B0GQZH1RRD,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop power steering rack and pinion buick lucerne,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE27900,4.0,1.0,1.0,166.02,0.66,待补ABA搜索量/排名,B0DWMVBS9V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion nissan maxima 2004,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,165.99,0.5,待补ABA搜索量/排名,B0DWMVRNCJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rx 300 right hand drive steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,6.0,2.0,1.0,165.0,1.59,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
04 acura tsx 6spd manual transmission rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-转向器-王云-Auto组表现差暂停商品,1.0,1.0,1.0,164.99,0.45,待补ABA搜索量/排名,B0DPCWXT64,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 acura tsx steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-BD-KC4PSP17900-B0DPCWXT64,2.0,1.0,1.0,164.99,0.97,待补ABA搜索量/排名,B0DPCWXT64,词组,新建对应ASIN关键词投放，7天复核,待运营确认
acura tsx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900；SP-KW-转向器-王云-BD-KC4PSP17900-B0DPCWXT64,7.0,4.0,1.0,164.99,4.12,待补ABA搜索量/排名,B0DPCWXT64,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering box toyota camry 1995 engine 2.2,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,2.0,1.0,164.99,0.8,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering box for toyota camry 1997,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,2.0,1.0,164.99,0.9,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for chevy trailblazer 2008,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000,13.0,2.0,1.0,163.99,1.72,待补ABA搜索量/排名,B0GCMGPV1W,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 golf 1.8 power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW1-Mix-转向器-王云-KX4SGE10700-重点,12.0,2.0,1.0,162.99,1.52,待补ABA搜索量/排名,B0GR4MD5TY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 acura tsx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP17900-重点,11.0,1.0,1.0,159.99,0.78,待补ABA搜索量/排名,B0CN6CLFVC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rascapiño honda accord 2010 sedan,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE08200-重点,1.0,1.0,1.0,159.99,0.45,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion for 08 civic,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,7.0,2.0,1.0,159.99,0.74,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
gato de la dirección honda civic 2008,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4SGE02700,1.0,1.0,1.0,159.99,0.6,待补ABA搜索量/排名,B0F66Y1ZRR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack venture 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-OO4SGE34000,2.0,1.0,1.0,159.99,0.69,待补ABA搜索量/排名,B0GTT2B7VM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2012 kia sorento ex 3.5 l steering rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE02800,6.0,1.0,1.0,158.99,0.83,待补ABA搜索量/排名,B0DPCWYHX9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
kia sorento 2011 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE02800,6.0,1.0,1.0,158.99,0.89,待补ABA搜索量/排名,B0DPCWYHX9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering box,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-OO4SGE34100,2.0,1.0,1.0,157.99,0.6,待补ABA搜索量/排名,B0GTTPRT8T,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop power steering rack and pinion nissan sentra,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE27500-重点,7.0,1.0,1.0,156.99,0.46,待补ABA搜索量/排名,B0DWMVBR7Q,词组,新建对应ASIN关键词投放，7天复核,待运营确认
xl7 2005 steering rack and pinion assembly,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,156.99,0.4,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 toyota 4runner v6 4x4 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,154.99,0.38,待补ABA搜索量/排名,B0DPCWN73Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion rebuild kit for a 2001 toyota tacoma,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,154.99,0.48,待补ABA搜索量/排名,B0DPCY3SC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 4 runner 6 cylinder 4x4 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE22200-重点,1.0,1.0,1.0,154.99,0.6,待补ABA搜索量/排名,B0DWMV3RPH,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 honda accord ex rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,154.99,0.38,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2002 vw jetta steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE10700,6.0,1.0,1.0,154.99,0.91,待补ABA搜索量/排名,B0F6LRNGJS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic power steering rack and pinion compatible with honda accord 2009,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,3.0,1.0,1.0,154.99,0.75,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion toyota prius 2010,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,154.99,0.75,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
mk4 golf steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE10700,2.0,1.0,1.0,154.99,0.72,待补ABA搜索量/排名,B0H6WJZR6S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop power steering rack and pinion toyota camry,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04300,1.0,1.0,1.0,153.99,0.84,待补ABA搜索量/排名,B0DPCX75QY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 lexus es330 power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KX4SGE08600-B0DR167V3Z,1.0,1.0,1.0,153.99,0.78,待补ABA搜索量/排名,B0DR167V3Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly 2004 grand am,机会词（有出单未覆盖）,搜索词报告,SP-kw-Mix-转向器-王云-KX4SGE12200-重点,1.0,1.0,1.0,153.99,1.15,待补ABA搜索量/排名,B0FLY3JV9J,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 nissan altima 3.5 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4SGE02400-重点,8.0,2.0,1.0,153.99,0.96,待补ABA搜索量/排名,B0GQZ8T7R1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
"conjunto de piñón y cremallera de dirección asistida, compatible honda crv 1998",机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP15900-重点,2.0,1.0,1.0,153.99,0.84,待补ABA搜索量/排名,B0GR46J8VG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
pontiac grand am 2004 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-kw-Mix-转向器-王云-KX4SGE12200-重点,5.0,2.0,1.0,153.99,2.29,待补ABA搜索量/排名,B0H6WDYZVD,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1999 volkswagen golf tdi power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,2.0,1.0,1.0,150.99,0.48,待补ABA搜索量/排名,B0GTT2ZVN4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1998 honda civic lx rack and pinion 53010-s04-000,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,149.99,0.48,待补ABA搜索量/排名,B0DSF696TB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2007 rendezvous,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE16700-重点,1.0,1.0,1.0,149.99,0.45,待补ABA搜索量/排名,B0F6Y1FFYQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack pinion for toyota corolla 1998,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,2.0,1.0,1.0,149.99,1.32,待补ABA搜索量/排名,B0GGRGLMRS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2003 buick rendezvous rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器26新品-王云-OO4SGE34000,4.0,1.0,1.0,149.99,0.73,待补ABA搜索量/排名,B0H6WHS9SC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 4runner 4.7l v8 power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4SGE03700-B0DPCXMRG4,3.0,1.0,1.0,148.49,0.56,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota 4runner 2006 racanpiño,机会词（有出单未覆盖）,搜索词报告,SP--Mix-转向器-王云-KC4SGE03700-重点,11.0,3.0,1.0,148.17,1.8,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1995 tacoma power steering rack 4wd,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-B0CN17GBN5,1.0,1.0,1.0,147.99,1.19,待补ABA搜索量/排名,B0CN17GBN5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 toyota tacoma steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16100-B0CN17GBN5,9.0,1.0,1.0,147.99,1.1,待补ABA搜索量/排名,B0CN17GBN5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for honda pilot 2014,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE09200,3.0,1.0,1.0,146.99,0.87,待补ABA搜索量/排名,B0DSZQ5BCN,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 honda pilot steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-KX4SGE09200-B0GQZ68DTZ-转向器-PT TOP；SP-KW-Mix-转向器-王云-KX4SGE09200-重点,7.0,2.0,1.0,146.99,1.87,待补ABA搜索量/排名,B0GQZ68DTZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
