搜索词,广告活动,活动ID,ASIN,广告组ID,广告组名称,判定类型,应用层级,曝光,点击,花费,订单,销售额,来源报告周期,处理状态
rack and pinion for 2008 ford explorer,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,18.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for a 2007 dodge ram 15102 wheel dr.,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion honda pilot lx,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion with servotronics2007 audi a4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack and pinion for a 2016 dodge charger.,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,13.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
1998 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.3,0.0,0.0,近7天,待模块E校验
2001ford ranger 4.0 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,11.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2002 toyota 4 runner rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,9.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2002 toyota celica rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.31,0.0,0.0,近7天,待模块E校验
2002 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2003 dodge ram rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2003 toyota camry rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2006 suzuki swift sport steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.3,0.0,0.0,近7天,待模块E校验
2007 acura tsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,15.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007 ford focus rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007 toyota tacoma power steering rack complete sets,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007-2011 honda crv steering rack connection,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,14.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2008 honda crv rack and pinion bolts,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,36.0,8.0,3.44,0.0,0.0,近7天,待模块E校验
2008 mercedes benz ml350 3.5l power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2008 subaru wrx power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,1.0,185.99,近7天,待模块E校验
2012 nissan altima 2.5 coupe rack and pinion 49001-ja01b,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2015 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2017 nissan titan rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.41,0.0,0.0,近7天,待模块E校验
90 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
98 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,7.0,1.0,0.3,0.0,0.0,近7天,待模块E校验
a steering rack and pinion for acura tsx 05,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.29,0.0,0.0,近7天,待模块E校验
electric rack and pinion for 2013 hyundai santa fe sport,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.47,0.0,0.0,近7天,待模块E校验
honda accord electrical steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
honda civic 2013 hydraulic power steering rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack honda cr-v 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
new 2001ford ranger 4.0 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
nissan titan refurbished steering rack and pinion for a 2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
power steering rack & pinion 2013 ford fusion titanium,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,34.0,1.0,0.18,0.0,0.0,近7天,待模块E校验
power steering rack & pinion assembly for toyota camry le se xle sedan 2002-2006 4425006131,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
power steering rack ford focus 2014,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
rack and pinion for 09g37 infiniti at a low cost with free shipping,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,7.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for a 2006 dodge dakota,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for mercedes benz e 350 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion honda fit 2009,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,9.0,1.0,0.25,0.0,0.0,近7天,待模块E校验
rack and pinion jeep liberty 2004,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,15.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rwd steering rack ram 1500,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack for subaru crosstrek 2016,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,3.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
steering rack honda accord 2.2 model 1992,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
toyota tundra rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.26,0.0,0.0,近7天,待模块E校验
1990 nissan 300zx steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,20.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
1999 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,11.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2002 toyota camry 2.4l power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,8.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2003 ford ranger super cab rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,62.0,5.0,2.39,0.0,0.0,近7天,待模块E校验
2004 ford f150 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,15.0,1.0,0.09,0.0,0.0,近7天,待模块E校验
2005 acura mdx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,10.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2005 bmw 330i rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,32.0,5.0,2.23,0.0,0.0,近7天,待模块E校验
2006 hyundai sonata rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.19,0.0,0.0,近7天,待模块E校验
2006 jeep liberty 3.7l rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,21.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2006 mercedes benz ml 350 4matic rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2008 lexus es350 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2009 nissan murano rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,10.0,1.0,0.33,0.0,0.0,近7天,待模块E校验
2010 ford f-150 lariat 5.4l power steering racks,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2011 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,20.0,3.0,1.44,0.0,0.0,近7天,待模块E校验
2012 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2014 chrysler 300s rack-and-pinion electrical,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2014 chrysler town and country rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.33,0.0,0.0,近7天,待模块E校验
2014 hyundai equus steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,9.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2018 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,10.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
chrysler 300 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,13.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
honda odyssey 2016 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,25.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack for ram 1500 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,2.0,0.12,0.0,0.0,近7天,待模块E校验
hydraulic steering rack hyundai accent 2005,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,8.0,3.0,1.44,0.0,0.0,近7天,待模块E校验
jeep grand cherokee 2011 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
jeep liberty hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
power steering rack & pinion assembly for 2011 - 2013 mazda 2 1.5l df7132110b,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
power steering rack gear fits mitsubishi canter,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.32,0.0,0.0,近7天,待模块E校验
rack and pinion 2011 mitsubishi lancer,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
rack and pinion bmw 328i 2016,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,14.0,3.0,1.35,0.0,0.0,近7天,待模块E校验
rack and pinion for 2006 ford f150 5.4 triton,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for chevrolet trailblazer ls 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion steering for 2017 kia sportage,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
rack and pinion toyota rav 4 2008,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack and pinion for 2014 kia sorento,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,19.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
steering rack and pinion for kia sportage 2020,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,35.0,3.0,1.44,0.0,0.0,近7天,待模块E校验
steering rack for hyundai sonata,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,10.0,3.0,1.44,0.0,0.0,近7天,待模块E校验
steering rack for hyundai sonata 2013,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,32.0,4.0,1.92,0.0,0.0,近7天,待模块E校验
steering rack honda civic lxs 1.8,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,2.0,0.9,0.0,0.0,近7天,待模块E校验
toyota camry hybrid 2007-2011 electric power steering rack and pinion oem,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,51.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
14 dodge avenger 3.6 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
1999 isuzu amigo rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,13.0,1.0,0.3,0.0,0.0,近7天,待模块E校验
2.4l 2005 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,14.0,1.0,0.22,1.0,214.99,近7天,待模块E校验
2001 lexus gs 430 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2002 jeep liberty steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
"2002 toyota prius steering rack""",SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2003 cadillac escalade rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,12.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2003 honda accord ex 2.4 l rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,1.0,170.99,近7天,待模块E校验
2004 gmc savana 1500 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,6.0,1.0,0.43,0.0,0.0,近7天,待模块E校验
2005 acura rsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2005 honda element rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2006 honda accord 2.4 rack and pinion lines,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,26.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2006 honda accord power steering rack and pinion with outer tie roda,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,7.0,1.0,0.48,1.0,193.99,近7天,待模块E校验
2006 honda acura rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,5.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2007 ford ranger steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2008 ford explorer 4.0 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2008 honda civic rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,14.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2009 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,20.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2009 nissan murano power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,6.0,2.0,0.78,0.0,0.0,近7天,待模块E校验
2010 ford fusion power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,5.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2011 ford fusion rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.06,0.0,0.0,近7天,待模块E校验
2012 toyota camry se rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.28,0.0,0.0,近7天,待模块E校验
2013 dodge charger rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,7.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2014 chrysler 300c rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.2,0.0,0.0,近7天,待模块E校验
2014 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.3,0.0,0.0,近7天,待模块E校验
