待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
2002 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2003 dodge ram rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2003 toyota camry rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 suzuki swift sport steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 acura tsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2007 ford focus rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2007 toyota tacoma power steering rack complete sets,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2007-2011 honda crv steering rack connection,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 honda crv rack and pinion bolts,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 mercedes benz ml350 3.5l power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2008 subaru wrx power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2012 nissan altima 2.5 coupe rack and pinion 49001-ja01b,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2015 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2017 nissan titan rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
90 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
98 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
a steering rack and pinion for acura tsx 05,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
electric rack and pinion for 2013 hyundai santa fe sport,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
honda accord electrical steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
honda civic 2013 hydraulic power steering rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack honda cr-v 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
new 2001ford ranger 4.0 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
nissan titan refurbished steering rack and pinion for a 2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
power steering rack & pinion 2013 ford fusion titanium,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
power steering rack & pinion assembly for toyota camry le se xle sedan 2002-2006 4425006131,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack ford focus 2014,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for 09g37 infiniti at a low cost with free shipping,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for a 2006 dodge dakota,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for mercedes benz e 350 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion honda fit 2009,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion jeep liberty 2004,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rwd steering rack ram 1500,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack for subaru crosstrek 2016,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack honda accord 2.2 model 1992,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
toyota tundra rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
1990 nissan 300zx steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2002 toyota camry 2.4l power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2003 ford ranger super cab rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 ford f150 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 acura mdx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005 bmw 330i rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 hyundai sonata rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 jeep liberty 3.7l rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2006 mercedes benz ml 350 4matic rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 lexus es350 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 nissan murano rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 ford f-150 lariat 5.4l power steering racks,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2011 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2012 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 chrysler 300s rack-and-pinion electrical,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2014 chrysler town and country rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 hyundai equus steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2018 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
chrysler 300 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
honda odyssey 2016 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
hydraulic steering rack for ram 1500 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack hyundai accent 2005,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
jeep grand cherokee 2011 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
jeep liberty hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack & pinion assembly for 2011 - 2013 mazda 2 1.5l df7132110b,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack gear fits mitsubishi canter,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion 2011 mitsubishi lancer,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion bmw 328i 2016,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for 2006 ford f150 5.4 triton,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for chevrolet trailblazer ls 2006,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion steering for 2017 kia sportage,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion toyota rav 4 2008,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack and pinion for 2014 kia sorento,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack and pinion for kia sportage 2020,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack for hyundai sonata,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack for hyundai sonata 2013,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack honda civic lxs 1.8,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
toyota camry hybrid 2007-2011 electric power steering rack and pinion oem,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMWLGF3,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
14 dodge avenger 3.6 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 isuzu amigo rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2.4l 2005 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2001 lexus gs 430 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 jeep liberty steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
"2002 toyota prius steering rack""",SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2003 cadillac escalade rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2003 honda accord ex 2.4 l rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 gmc savana 1500 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005 acura rsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 honda element rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 honda accord 2.4 rack and pinion lines,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 honda accord power steering rack and pinion with outer tie roda,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2006 honda acura rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 ford ranger steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2008 ford explorer 4.0 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 honda civic rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2009 nissan murano power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 ford fusion power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 ford fusion rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2012 toyota camry se rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2013 dodge charger rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2014 chrysler 300c rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2014 kia optima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 nissan nv200 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2016 dodge journey rack and pinion steering assembly,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2016 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2016 ram 1500 electric rack and pinion assembly,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2018 infiniti q50s rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2019 ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
bmw rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
dodge ram 1500 rack and pinion eps,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
electric power steering rack ford f150 2014,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford focus 2009 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
ford rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
